State,Forest Name,Area (City),Region (Zone),Fire Occurrence,Month,Day,Oxygen,Temperature,Humidity,FFMC,DMC,DC,ISI,RH,Wind
Meghalaya,Nokrek National Park,West Garo Hills,Eastern,0,6,3,24,26,65,82,35,420,6,70,6
Kerala,Chimmony Wildlife Sanctuary,Thrissur,Southern,1,8,9,88,49,75,99,96,80,25,30,22
Punjab,Harike Wetland Wildlife Sanctuary,Tarn Taran,Northern,0,2,15,30,26,35,91,132,260,43,85,6
Andaman and Nicobar Islands,Rani Jhansi Marine National Park,South Andaman,Southern,0,12,24,20,16,85,91,296,1080,125,490,23
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,4,19,96,45,45,95,136,280,45,95,22
Maharashtra,Bor Wildlife Sanctuary,Wardha,Western,1,1,19,95,43,50,85,106,130,30,55,6
Bihar,Rajgir Wildlife Sanctuary,Rajgir,Eastern,1,12,8,91,39,65,78,35,370,4,74,11
Goa,Mhadei Wildlife Sanctuary,North Goa,Western,1,4,19,88,42,65,96,446,1830,200,865,17
Karnataka,Pushpagiri Wildlife Sanctuary,Somwarpet,Southern,1,8,20,98,44,70,82,35,400,5,70,6
Mizoram,Murlen National Park,Champhai,Eastern,1,10,3,81,41,65,99,244,820,99,360,5
Tamil Nadu,Mudumalai National Park,Nilgiris,Southern,0,2,31,38,37,55,91,396,1580,175,740,8
Andaman and Nicobar Islands,Middle Button Island National Park,North Andaman,Southern,0,4,31,59,15,90,82,70,120,6,20,17
Mizoram,Murlen National Park,Champhai,Eastern,1,1,5,92,40,50,95,370,1450,162,675,18
Andaman and Nicobar Islands,Saddle Peak National Park,North Andaman,Southern,0,8,39,74,33,80,90,78,40,10,25,19
Kerala,Periyar National Park,Idukki,Southern,1,1,7,92,43,60,82,35,420,6,70,21
West Bengal,Gorumara National Park,Jalpaiguri,Eastern,1,12,20,91,46,45,91,416,1680,185,790,10
Jharkhand,Palamau Tiger Reserve,Latehar,Eastern,1,5,3,97,50,90,93,90,50,22,15,6
Andhra Pradesh,Coringa Wildlife Sanctuary,East Godavari,Southern,0,3,30,75,15,70,97,302,1110,128,505,17
Gujarat,Vansda National Park,Navsari,Western,0,7,12,100,17,80,94,65,540,11,75,21
Telangana,Kawal Wildlife Sanctuary,Mancherial,Southern,0,8,7,88,31,75,82,35,420,8,70,4
Rajasthan,Sariska Tiger Reserve,Alwar,Northern,0,10,23,55,11,95,93,388,1540,171,720,12
Odisha,Simlipal National Park,Mayurbhanj,Eastern,0,7,30,43,11,80,82,35,410,6,80,4
Meghalaya,Balphakram National Park,South Garo Hills,Eastern,0,8,31,52,25,55,95,240,800,97,350,21
Uttarakhand,Nanda Devi National Park,Chamoli,Northern,1,6,12,93,40,75,99,284,1020,119,460,23
Gujarat,Vansda National Park,Navsari,Western,0,6,23,43,22,75,98,450,1850,202,875,14
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,9,15,86,44,70,84,42,420,7,65,14
Kerala,Silent Valley National Park,Palakkad,Southern,1,5,9,82,50,95,90,55,500,9,60,4
Assam,Kaziranga National Park,"Golaghat, Nagaon, Sonitpur and Biswanath",Eastern,1,11,11,88,42,40,93,438,1790,196,845,8
Rajasthan,Sita Mata Wildlife Sanctuary,Pratapgarh,Northern,0,4,22,98,26,80,82,35,420,6,75,16
Gujarat,Thol Lake Wildlife Sanctuary,Ahmedabad,Western,0,7,25,96,35,80,99,452,1860,203,880,8
Uttar Pradesh,Hastinapur Wildlife Sanctuary,Meerut,Northern,0,5,10,23,12,70,97,282,1010,118,455,4
Tripura,Clouded Leopard National Park,Sepahijala,Eastern,1,4,9,83,49,75,80,30,370,5,75,17
Andaman and Nicobar Islands,North Button Island National Park,North Andaman,Southern,1,8,21,82,42,65,93,168,440,61,175,14
Assam,Borail Wildlife Sanctuary,Cachar,Eastern,1,9,30,95,48,75,84,38,430,8,70,8
Karnataka,Bannerghatta Biological Park,Bengaluru,Southern,1,4,10,86,48,10,94,225,1180,43,235,23
Maharashtra,Sanjay Gandhi National Park,Mumbai,Western,0,10,23,61,33,70,80,32,390,5,75,19
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,1,8,20,82,44,95,95,478,1990,216,945,10
Gujarat,Vansda National Park,Navsari,Western,0,7,12,38,16,80,94,65,540,11,75,11
Himachal Pradesh,Great Himalayan National Park,Kullu,Northern,0,5,1,81,36,35,90,50,460,4,60,11
Uttar Pradesh,Dudhwa National Park,Lakhimpur Kheri,Northern,0,9,5,70,33,70,98,75,580,13,85,24
Gujarat,Purna Wildlife Sanctuary,Dang,Western,1,10,5,93,40,65,88,40,450,8,60,14
Gujarat,Khijadia Bird Sanctuary,Jamnagar,Western,1,12,5,93,41,80,88,40,460,5,48,21
Telangana,Mrugavani National Park,Hyderabad,Southern,1,1,2,100,41,50,99,274,970,114,435,19
Nagaland,Ntangki National Park,Peren,Eastern,1,4,11,94,41,65,91,376,1480,165,690,24
Sikkim,Fambong Lho Wildlife Sanctuary,East Sikkim,Eastern,0,5,21,98,37,50,97,138,290,46,100,21
Assam,Nameri National Park,Sonitpur,Eastern,0,10,25,27,22,10,98,135,820,25,145,22
Chhattisgarh,Indravati National Park,Bijapur,Central,1,8,15,94,46,95,97,192,560,73,235,23
Odisha,Bhitarkanika National Park,Kendrapara,Eastern,0,3,12,61,14,75,80,30,360,5,70,5
Himachal Pradesh,Chail Wildlife Sanctuary,Solan,Northern,1,11,21,93,48,80,95,78,140,17,25,11
Uttarakhand,Govind Wildlife Sanctuary,Uttarkashi,Northern,0,4,13,58,29,85,95,160,400,57,155,23
Andaman and Nicobar Islands,North Button Island National Park,North Andaman,Southern,0,11,22,65,27,90,99,294,1070,124,485,4
Himachal Pradesh,Pin Valley National Park,Lahaul and Spiti,Northern,1,11,2,82,43,50,97,460,1900,207,900,6
Manipur,Sirohi National Park,Ukhrul,Eastern,0,10,30,60,32,95,99,364,1420,159,660,21
Andaman and Nicobar Islands,Rani Jhansi Marine National Park,South Andaman,Southern,0,12,24,89,19,85,91,296,1080,125,490,20
Assam,Kaziranga National Park,"Golaghat, Nagaon, Sonitpur and Biswanath",Eastern,1,5,9,99,45,80,91,186,530,70,220,12
Rajasthan,Desert National Park,Jaisalmer,Northern,1,6,19,84,40,85,95,260,900,107,400,5
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,4,19,88,40,45,95,136,280,45,95,12
Karnataka,Anshi National Park,Uttara Kannada,Southern,0,1,12,22,27,50,91,346,1330,150,615,4
Arunachal Pradesh,Kane Wildlife Sanctuary,East Kameng,Eastern,0,3,5,52,26,70,97,182,510,68,210,24
Andaman and Nicobar Islands,Saddle Peak National Park,North Andaman,Southern,0,10,25,64,10,55,97,172,460,63,185,21
Madhya Pradesh,Kanha National Park,Mandla,Central,0,3,21,77,33,30,95,230,750,92,325,22
Arunachal Pradesh,Kane Wildlife Sanctuary,East Kameng,Eastern,0,9,7,79,13,90,99,434,1770,194,835,23
Gujarat,Thol Lake Wildlife Sanctuary,Ahmedabad,Western,0,7,25,91,21,80,99,452,1860,203,880,22
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,9,15,97,46,70,84,42,420,7,65,22
Bihar,Valmiki National Park,West Champaran,Eastern,1,9,11,93,45,40,99,314,1170,134,535,7
Manipur,Keibul Lamjao National Park,Bishnupur,Eastern,0,6,5,38,24,50,98,175,980,33,185,13
Bihar,Vikramshila Gangetic Dolphin Sanctuary,Bhagalpur,Eastern,0,7,13,76,29,90,95,190,550,72,230,21
Rajasthan,Desert National Park,Jaisalmer,Northern,1,6,19,99,41,85,95,260,900,107,400,8
Punjab,Harike Wetland Wildlife Sanctuary,Tarn Taran,Northern,0,2,15,35,31,35,91,132,260,43,85,18
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,0,8,20,62,35,95,95,478,1990,216,945,9
Kerala,Silent Valley National Park,Palakkad,Southern,0,7,6,50,35,80,82,30,350,4,75,13
Gujarat,Jessore Sloth Bear Sanctuary,Banaskantha,Western,1,6,11,82,43,55,97,68,240,12,50,22
Bihar,Valmiki National Park,West Champaran,Eastern,1,6,22,90,49,65,85,40,450,7,55,15
Maharashtra,Chandoli National Park,Kolhapur,Western,1,7,24,89,46,80,93,358,1390,156,645,12
Gujarat,Rampara Wildlife Sanctuary,Rajkot,Western,0,4,28,53,37,65,80,32,390,6,60,15
Goa,Netravali Wildlife Sanctuary,South Goa,Western,0,5,21,85,21,70,97,448,1840,201,870,21
Uttarakhand,Rajaji National Park,Dehradun,Northern,1,10,16,99,50,95,97,412,1660,183,780,20
Tamil Nadu,Mudumalai National Park,Udhagamandalam (Ooty),Southern,0,12,1,70,30,55,80,32,380,5,65,15
Goa,Mhadei Wildlife Sanctuary,North Goa,Western,1,4,19,95,42,65,96,446,1830,200,865,23
Andaman and Nicobar Islands,Galathea National Park,Great Nicobar,Southern,0,2,27,95,15,80,78,65,160,4,30,5
Andaman and Nicobar Islands,South Button Island National Park,South Andaman,Southern,1,9,41,97,40,75,92,80,20,11,30,17
Uttar Pradesh,Saman Sanctuary,Mainpuri,Northern,0,3,8,35,13,75,88,45,480,8,70,10
Andaman and Nicobar Islands,Unknown Sanctuary (Andaman and Nicobar Islands),North and Middle Andaman,Southern,1,12,47,92,45,60,98,86,0,14,45,8
Assam,Borail Wildlife Sanctuary,Cachar,Eastern,1,9,30,94,48,75,84,38,430,8,70,7
Madhya Pradesh,Satpura National Park,Hoshangabad,Central,1,11,30,95,39,60,90,85,620,15,95,5
Himachal Pradesh,Daranghati Wildlife Sanctuary,Shimla,Northern,1,12,23,82,45,85,97,80,120,18,20,21
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,3,28,81,40,95,92,220,1160,42,230,14
Haryana,Sultanpur National Park,Gurgaon,Northern,0,6,29,22,20,15,97,332,1260,143,580,21
Kerala,Periyar National Park,"Idukki, Pathanamthitta, and Thekkady",Southern,1,7,18,85,49,90,93,476,1980,215,940,15
Tripura,Gumti Wildlife Sanctuary,South Tripura,Eastern,1,2,4,81,45,55,91,276,980,115,440,16
Jharkhand,Hazaribagh National Park,Hazaribagh,Eastern,1,9,9,94,48,30,93,218,690,86,295,17
Kerala,Silent Valley National Park,Palakkad,Southern,0,7,6,88,20,80,82,30,350,4,75,4
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,11,5,98,48,55,84,50,450,5,60,5
Andaman and Nicobar Islands,Saddle Peak National Park,North Andaman,Southern,0,8,39,85,19,80,90,78,40,10,25,16
Uttarakhand,Binsar Wildlife Sanctuary,Almora,Northern,1,3,11,92,40,90,93,158,390,56,150,4
West Bengal,Buxa Tiger Reserve,Alipurduar,Eastern,0,11,18,23,20,40,99,414,1670,184,785,17
West Bengal,Gorumara National Park,Jalpaiguri,Eastern,1,9,18,92,48,90,95,290,1050,122,475,9
Maharashtra,Tadoba Andhari Tiger Reserve,Chandrapur,Western,0,2,15,92,38,90,98,215,1140,41,225,11
Mizoram,Murlen National Park,Champhai,Eastern,1,5,21,98,41,65,90,32,390,6,75,4
Arunachal Pradesh,Mouling National Park,Upper Siang,Eastern,0,8,11,67,16,75,82,30,350,5,70,13
Nagaland,Rangapahar Wildlife Sanctuary,Dimapur,Eastern,0,3,28,72,29,35,92,160,920,30,170,11
Tripura,Gumti Wildlife Sanctuary,South Tripura,Eastern,0,8,24,67,25,70,86,40,460,7,75,19
Bihar,Valmiki National Park,West Champaran,Eastern,0,6,11,40,15,85,93,188,540,71,225,8
Jammu and Kashmir,Hemis National Park,Leh,Northern,0,10,6,29,16,35,95,340,1300,147,600,18
Meghalaya,Baghmara Pitcher Plant Sanctuary,South Garo Hills,Eastern,0,1,28,29,27,80,82,35,420,6,75,11
Madhya Pradesh,Ghatigaon Wildlife Sanctuary,Gwalior,Central,1,10,13,88,40,65,91,100,100,27,40,20
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,1,8,20,81,47,95,95,478,1990,216,945,16
Assam,Dibru-Saikhowa National Park,Tinsukia,Eastern,0,4,7,51,25,75,99,184,520,69,215,10
Tripura,Clouded Leopard National Park,Sepahijala,Eastern,1,4,9,100,43,75,80,30,370,5,75,13
Himachal Pradesh,Pin Valley National Park,Lahaul and Spiti,Northern,0,5,1,95,22,50,95,210,650,82,280,7
Nagaland,Fakim Wildlife Sanctuary,Kiphire,Eastern,1,3,9,88,47,70,84,38,430,8,65,13
Andaman and Nicobar Islands,Middle Button Island National Park,North Andaman,Southern,0,4,31,52,36,90,82,70,120,6,20,23
Tamil Nadu,Guindy National Park,Chennai,Southern,0,10,27,51,29,65,93,268,940,111,420,12
Haryana,Sultanpur National Park,Gurugram,Northern,1,8,25,99,44,45,92,60,500,7,40,16
Chhattisgarh,Indravati National Park,Bijapur,Central,1,8,15,86,44,95,97,192,560,73,235,4
Sikkim,Khangchendzonga National Park,North Sikkim,Eastern,1,8,23,91,43,75,99,264,920,109,410,6
West Bengal,Buxa Tiger Reserve,Alipurduar,Eastern,1,6,5,84,41,30,90,115,740,21,125,10
Kerala,Periyar National Park,"Idukki, Pathanamthitta, and Thekkady",Southern,1,7,18,91,43,90,93,476,1980,215,940,21
Chhattisgarh,Kanger Ghati National Park,Bastar,Central,0,12,17,38,35,25,95,320,1200,137,550,20
Madhya Pradesh,Panna National Park,Panna,Central,0,1,2,22,12,55,92,90,640,16,100,13
Andaman and Nicobar Islands,Rani Jhansi Marine National Park,South Andaman,Southern,1,9,23,81,47,60,95,170,450,62,180,4
Bihar,Valmiki National Park,West Champaran,Eastern,1,6,22,81,44,65,85,40,450,7,55,8
Gujarat,Vansda National Park,Navsari,Western,0,6,23,46,27,75,98,450,1850,202,875,15
West Bengal,Gorumara National Park,Jalpaiguri,Eastern,0,2,17,55,13,65,78,40,370,5,70,10
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,0,8,20,91,15,95,95,478,1990,216,945,8
Meghalaya,Baghmara Pitcher Plant Wildlife Sanctuary,South Garo Hills,Eastern,1,5,27,85,47,30,93,114,170,34,75,17
Uttar Pradesh,Saman Sanctuary,Mainpuri,Northern,0,3,8,29,31,75,88,45,480,8,70,10
Jammu and Kashmir,Dachigam National Park,Srinagar,Northern,0,12,4,35,34,55,99,462,1910,208,905,18
Jharkhand,Hazaribagh National Park,Hazaribagh,Eastern,1,9,9,95,48,30,93,218,690,86,295,9
Manipur,Sirohi National Park,Ukhrul,Eastern,0,7,29,79,28,50,93,238,790,96,345,8
Uttar Pradesh,Nawabganj Bird Sanctuary,Unnao,Northern,1,11,2,90,44,75,80,38,380,6,70,22
Maharashtra,Tansa Wildlife Sanctuary,Thane,Western,0,6,13,38,32,65,84,38,430,8,65,7
Gujarat,Vansda National Park,Navsari,Western,0,7,12,45,32,80,94,65,540,11,75,19
Gujarat,Gir Forest National Park,Junagadh,Western,0,12,23,97,22,75,95,200,600,77,255,24
Nagaland,Rangapahar Wildlife Sanctuary,Dimapur,Eastern,0,3,28,83,25,35,92,160,920,30,170,12
Jharkhand,Hazaribagh National Park,Hazaribagh,Eastern,1,9,9,100,48,30,93,218,690,86,295,19
Madhya Pradesh,Kanha National Park,Mandla,Central,0,3,21,59,31,30,95,230,750,92,325,15
Arunachal Pradesh,Kane Wildlife Sanctuary,East Kameng,Eastern,0,4,55,42,20,40,88,94,20,18,65,23
Kerala,Neyyar Wildlife Sanctuary,Thiruvananthapuram,Southern,0,9,11,93,35,70,89,98,90,26,35,11
Kerala,Periyar National Park,Thekkady,Southern,1,9,20,96,48,75,80,45,400,6,80,21
Uttar Pradesh,Dudhwa National Park,Lakhimpur Kheri,Northern,0,3,22,64,13,65,84,40,430,6,70,8
Arunachal Pradesh,Namdapha National Park,Changlang,Eastern,0,11,2,53,38,60,80,30,380,5,70,14
Haryana,Bir Shikargah Wildlife Sanctuary,Panchkula,Northern,1,9,17,85,47,70,91,74,180,15,35,4
Uttarakhand,Rajaji National Park,Dehradun,Northern,1,10,16,86,43,95,97,412,1660,183,780,16
Punjab,Bir Moti Bagh Wildlife Sanctuary,Bathinda,Northern,1,1,13,89,50,30,89,130,250,42,80,24
Meghalaya,Nokrek National Park,West Garo Hills,Eastern,0,9,1,74,24,60,97,242,810,98,355,16
Tripura,Sepahijala Wildlife Sanctuary,West Tripura,Eastern,1,12,21,87,40,65,84,38,430,7,70,13
Goa,Bhagwan Mahavir Wildlife Sanctuary,North Goa and South Goa,Western,1,1,19,100,49,20,97,322,1210,138,555,10
Tamil Nadu,Guindy Snake Park,Chennai,Southern,1,11,4,97,46,60,84,38,430,7,55,23
Kerala,Chimmony Wildlife Sanctuary,Thrissur,Southern,1,8,9,96,39,75,99,96,80,25,30,12
Uttarakhand,Valley of Flowers National Park,Chamoli,Northern,0,6,18,70,14,65,78,25,320,4,60,15
Tripura,Gumti Wildlife Sanctuary,South Tripura,Eastern,0,8,24,83,32,70,86,40,460,7,75,8
Andaman and Nicobar Islands,Rani Jhansi Marine National Park,South Andaman,Southern,0,7,37,84,18,85,88,76,60,9,18,17
Goa,Bhagwan Mahavir Wildlife Sanctuary,North Goa and South Goa,Western,1,1,19,94,48,20,97,322,1210,138,555,9
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,11,5,81,44,55,84,50,450,5,60,13
Chhattisgarh,Indravati National Park,Bijapur,Central,0,7,12,34,34,60,80,38,440,7,70,21
Odisha,Bhitarkanika National Park,Kendrapara,Eastern,0,3,12,97,30,75,80,30,360,5,70,5
Assam,Kaziranga National Park,"Golaghat, Nagaon, Sonitpur and Biswanath",Eastern,1,11,11,83,40,40,93,438,1790,196,845,17
Gujarat,Gir Forest National Park,Junagadh,Western,0,3,23,61,31,10,91,326,1230,140,565,21
Andaman and Nicobar Islands,North Button Island National Park,North Andaman,Southern,0,2,24,93,20,55,95,420,1700,187,800,11
Andaman and Nicobar Islands,Campbell Bay National Park,Nicobar Islands,Southern,0,1,25,62,10,75,75,63,180,3,35,4
Haryana,Kalesar National Park,Yamunanagar,Northern,1,8,27,100,45,85,91,454,1870,204,885,15
Jharkhand,Hazaribagh National Park,Hazaribagh,Eastern,1,9,9,91,46,30,93,218,690,86,295,15
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,4,19,82,45,45,95,136,280,45,95,18
Haryana,Sultanpur National Park,Gurgaon,Northern,1,3,29,97,44,60,91,206,630,80,270,13
Karnataka,Nagarhole National Park,Mysuru,Southern,0,4,18,80,12,90,88,50,480,8,65,5
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,5,14,86,41,80,99,472,1960,213,930,12
Chhattisgarh,Kanger Ghati National Park,Bastar,Central,0,12,17,62,26,25,95,320,1200,137,550,22
Arunachal Pradesh,Mouling National Park,Siang,Eastern,1,6,3,82,48,85,68,45,320,6,90,19
Uttarakhand,Valley of Flowers National Park,Chamoli,Northern,0,1,17,100,24,60,78,32,410,7,65,22
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,11,13,91,42,20,97,222,710,88,305,16
Telangana,Kawal Wildlife Sanctuary,Adilabad,Southern,0,12,31,89,19,55,97,272,960,113,430,23
Kerala,Periyar National Park,"Idukki, Pathanamthitta, and Thekkady",Southern,1,7,18,97,50,90,93,476,1980,215,940,11
Tripura,Rowa Wildlife Sanctuary,North Tripura,Eastern,1,12,5,81,39,85,99,152,360,53,135,17
Manipur,Sirohi National Park,Senapati,Eastern,0,7,18,92,19,55,92,180,1000,34,190,12
Andaman and Nicobar Islands,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),Little Andaman,Southern,1,10,43,89,48,70,94,82,10,12,35,20
Sikkim,Maenam Wildlife Sanctuary,South Sikkim,Eastern,1,12,27,99,42,45,97,392,1560,173,730,24
Jammu and Kashmir,Ramnagar Wildlife Sanctuary,Udhampur,Northern,0,2,27,25,24,95,87,84,80,20,10,17
Haryana,Sultanpur National Park,Gurgaon,Northern,1,3,29,100,44,60,91,206,630,80,270,10
Mizoram,Murlen National Park,Champhai,Eastern,1,1,5,95,41,50,95,370,1450,162,675,5
Kerala,Eravikulam National Park,Idukki,Southern,0,12,15,76,22,15,99,224,720,89,310,22
Madhya Pradesh,Ghatigaon Wildlife Sanctuary,Gwalior,Central,1,10,13,98,40,65,91,100,100,27,40,9
Chhattisgarh,Sitanadi Wildlife Sanctuary,Dhamtari,Central,1,1,1,96,47,30,87,58,340,7,75,6
Rajasthan,Desert National Park,Jaisalmer,Northern,1,9,21,95,46,90,91,386,1530,170,715,20
Jharkhand,Betla National Park,Palamu,Eastern,1,2,8,98,41,65,93,466,1930,210,915,6
Haryana,Bir Shikargah Wildlife Sanctuary,Panchkula,Northern,1,9,17,100,43,70,91,74,180,15,35,23
Maharashtra,Tansa Wildlife Sanctuary,Thane,Western,0,6,13,37,26,65,84,38,430,8,65,12
Karnataka,Bandipur National Park,Chamarajanagar,Southern,1,11,13,99,41,20,97,222,710,88,305,21
Mizoram,Blue Mountain National Park,Mamit,Eastern,1,6,29,100,45,25,95,116,180,35,80,8
Gujarat,Vansda National Park,Navsari,Western,1,10,9,85,46,45,85,32,480,4,60,22
Sikkim,Maenam Wildlife Sanctuary,South Sikkim,Eastern,1,12,27,86,48,45,97,392,1560,173,730,6
Uttar Pradesh,Nawabganj Bird Sanctuary,Unnao,Northern,1,11,2,99,46,75,80,38,380,6,70,4
West Bengal,Gorumara National Park,Jalpaiguri,Eastern,1,9,18,94,47,90,95,290,1050,122,475,20
Jharkhand,Hazaribagh National Park,Hazaribagh,Eastern,0,12,10,40,11,45,99,344,1320,149,610,22
Kerala,Silent Valley National Park,Palakkad,Southern,1,5,9,97,42,95,90,55,500,9,60,7
Maharashtra,Sanjay Gandhi National Park,Mumbai,Western,1,6,30,84,45,85,92,60,520,10,70,10
Gujarat,Vansda National Park,Navsari,Western,1,10,9,92,50,45,85,32,480,4,60,24
Nagaland,Fakim Wildlife Sanctuary,Kiphire,Eastern,1,3,9,92,50,70,84,38,430,8,65,18
Gujarat,Vansda National Park,Navsari,Western,1,10,9,81,48,45,85,32,480,4,60,7
Assam,Borail Wildlife Sanctuary,Cachar,Eastern,1,9,30,92,41,75,84,38,430,8,70,9
Punjab,Bir Moti Bagh Wildlife Sanctuary,Bathinda,Northern,1,1,13,98,44,30,89,130,250,42,80,18
Gujarat,Vansda National Park,Navsari,Western,1,10,9,100,39,45,85,32,480,4,60,24
Himachal Pradesh,Great Himalayan National Park,Kullu,Northern,0,5,1,78,19,35,90,50,460,4,60,5
Andaman and Nicobar Islands,Mahatma Gandhi Marine National Park,South Andaman,Southern,1,3,29,87,40,85,80,68,140,5,25,20
Goa,Bhagwan Mahavir Wildlife Sanctuary,North Goa and South Goa,Western,0,10,19,64,30,85,91,196,580,75,245,16
Gujarat,Purna Wildlife Sanctuary,Dang,Western,1,10,5,82,43,65,88,40,450,8,60,24
Chhattisgarh,Indravati National Park,Bijapur,Central,1,2,17,100,47,55,99,444,1820,160,789,14
Haryana,Kalesar National Park,Yamunanagar,Northern,1,2,27,98,49,65,99,204,620,79,265,15
Haryana,Sultanpur National Park,Gurgaon,Northern,1,3,29,100,49,60,91,206,630,80,270,8
Karnataka,Nagarhole National Park,Mysuru,Southern,0,4,18,48,13,90,88,50,480,8,65,10
Assam,Dibru-Saikhowa National Park,Tinsukia,Eastern,1,11,7,99,48,15,92,140,840,26,150,5
West Bengal,Buxa Tiger Reserve,Alipurduar,Eastern,1,11,18,83,46,65,78,58,220,2,45,15
Andaman and Nicobar Islands,Mahatma Gandhi Marine National Park,South Andaman,Southern,1,3,29,89,44,85,80,68,140,5,25,11
Rajasthan,Kumbhalgarh Wildlife Sanctuary,Rajsamand,Northern,1,9,15,87,40,70,84,42,420,7,65,24
Madhya Pradesh,Ghatigaon Wildlife Sanctuary,Gwalior,Central,1,10,13,98,42,65,91,100,100,27,40,19
Chhattisgarh,Indravati National Park,Bijapur,Central,1,8,15,97,45,95,97,192,560,73,235,24
